Name,Formula,T/K,Cp¡ã,S¡ã, -[G¡ã-H¡ã(Tr)]/T,H-H¡ã(Tr),fH¡ã,fG¡ã,log Kf
Ammonium Iodide (NH4I),H4I1N1(cr),298.15,81.755,112.968,112.968,0.,-202.087,-111.966,19.616
Hydrazine (N2H4),H4N2(l),298.15,98.840,121.544,121.544,0.,50.626,149.440,-26.181
Hydrazine (N2H4),H4N2(g),298.15,50.813,238.719,238.719,0.,95.353,159.232,-27.897
"Sulfuric Acid, Monohydrate (H2SO4.H2O)","H4O5S1(cr,l)",298.15,214.264,211.510,211.510,0.,-1127.621,-950.290,166.487
Silane (SiH4),H4Si1(g),298.15,42.827,204.653,204.653,0.,34.309,56.827,-9.956
"Hydronium, Ion (H3O+)",H3O1+(g),298.15,35.146,192.257,192.257,0.,581.158,606.607,-106.275
"Sulfuric Acid, Dihydrate (H2SO4.2H2O)","H6O6S1(cr,l)",298.15,261.453,276.363,276.363,0.,-1427.100,-1199.560,210.158
"Sulfuric Acid, Tetrahydrate (H2SO4.4H2O)","H10O8S1(cr,l)",298.15,386.382,414.529,414.529,0.,-2011.199,-1685.764,295.339
"Sulfuric Acid, Hemihexahydrate (H2SO4.6.5H2O)","H15O10.5S1(cr,l)",298.15,570.279,587.819,587.819,0.,-2733.261,-2285.631,400.433
Phosphoric Acid (H3PO4),H3O4P1(cr),298.15,106.064,110.544,110.544,0.,-1284.375,-1124.314,196.975
Silylidyne (SiH),H1Si1(g),298.15,30.088,198.040,198.040,0.,376.662,342.708,-60.041
"Water, 5000 Bar (H2O)",H2O1(fl),298.15,62.350,66.927,66.927,0.,-278.394,-228.804,40.086
Strontium Hydroxide (Sr(OH)2),H2O2Sr1(cr),298.15,74.894,97.069,97.069,0.,-968.889,-881.098,154.365
Iodosilane (SiH3I),H3I1Si1(g),298.15,54.401,271.022,271.022,0.,-2.092,-1.529,0.268
"Sulfuric Acid, Trihydrate (H2SO4.3H2O)","H8O7S1(cr,l)",298.15,319.090,345.373,345.373,0.,-1720.402,-1443.893,252.964
Phosphine (PH3),H3P1(g),298.15,37.102,210.243,210.243,0.,22.886,30.893,-5.412
Aluminum (Al),Al1(ref),298.15,24.209,28.275,28.275,0.,0.,0.,0.
Aluminum (Al),Al1(l),298.15,24.209,39.549,39.549,0.,10.562,7.201,-1.262
Aluminum (Al),"Al1(cr,l)",298.15,24.209,28.275,28.275,0.,0.,0.,0.
Aluminum (Al),Al1(g),298.15,21.390,164.553,164.553,0.,329.699,289.068,-50.643
"Aluminum, Ion (Al+)",Al1+(g),298.15,20.786,149.950,149.950,0.,912.713,870.181,-152.452
"Aluminum, Ion (Al-)",Al1-(g),298.15,20.960,168.135,168.135,0.,280.790,245.345,-42.983
Aluminum Borate (AlBO2),Al1B1O2(g),298.15,52.833,269.567,269.567,0.,-541.410,-550.447,96.436
Aluminum Bromide (AlBr),Al1Br1(g),298.15,35.600,239.616,239.616,0.,15.899,-24.422,4.279
Aluminum Bromide (AlBr3),Al1Br3(cr),298.15,100.578,180.216,180.216,0.,-511.285,-488.515,85.586
Aluminum Bromide (AlBr3),Al1Br3(l),298.15,124.965,206.481,206.481,0.,-501.381,-486.442,85.223
Aluminum Bromide (AlBr3),"Al1Br3(cr,l)",298.15,100.578,180.216,180.216,0.,-511.285,-488.515,85.586
Aluminum Bromide (AlBr3),Al1Br3(g),298.15,75.376,349.441,349.441,0.,-410.450,-438.135,76.759
Aluminum Chloride (AlCl),Al1Cl1(g),298.15,34.660,227.957,227.957,0.,-51.463,-77.743,13.620
"Aluminum Chloride, Ion (AlCl+)",Al1Cl1+(g),298.15,33.794,232.187,232.187,0.,861.904,828.108,-145.081
Aluminum Chloride Fluoride (AlClF),Al1Cl1F1(g),298.15,48.806,282.895,282.895,0.,-489.528,-501.957,87.941
"Aluminum Chloride Fluoride, Ion (AlClF+)",Al1Cl1F1+(g),298.15,52.450,259.722,259.722,0.,276.144,264.370,-46.316
Aluminum Chloride Fluoride (AlClF2),Al1Cl1F2(g),298.15,65.447,297.839,297.839,0.,-999.139,-985.793,172.707
Aluminum Chloride Oxide (OAlCl),Al1Cl1O1(cr),298.15,56.902,54.392,54.392,0.,-793.286,-737.235,129.161
Aluminum Chloride Oxide (OAlCl),Al1Cl1O1(g),298.15,50.068,248.931,248.931,0.,-348.109,-350.059,61.329
Aluminum Chloride (AlCl2),Al1Cl2(g),298.15,51.635,289.420,289.420,0.,-280.328,-291.677,51.101
"Aluminum Chloride, Ion (AlCl2+)",Al1Cl2+(g),298.15,55.063,268.261,268.261,0.,481.160,469.865,-82.318
"Aluminum Chloride, Ion (AlCl2-)",Al1Cl2-(g),298.15,52.650,285.778,285.778,0.,-481.160,-485.169,85.000
Aluminum Chloride Fluoride (AlCl2F),Al1Cl2F1(g),298.15,68.804,311.403,311.403,0.,-790.776,-778.449,136.381
Aluminum Chloride (AlCl3),Al1Cl3(cr),298.15,91.128,109.286,109.286,0.,-705.632,-630.018,110.377
Aluminum Chloride (AlCl3),Al1Cl3(l),298.15,125.520,172.908,172.908,0.,-674.805,-618.161,108.299
Aluminum Chloride (AlCl3),"Al1Cl3(cr,l)",298.15,91.128,109.286,109.286,0.,-705.632,-630.018,110.377
Aluminum Chloride (AlCl3),Al1Cl3(g),298.15,71.876,314.494,314.494,0.,-584.588,-570.158,99.889
Potassium Tetrachloroaluminate (KAlCl4),Al1Cl4K1(cr),298.15,156.482,196.648,196.648,0.,-1196.624,-1094.521,191.755
Sodium Tetrachloroaluminate (NaAlCl4),Al1Cl4Na1(cr),298.15,154.975,188.280,188.280,0.,-1142.232,-996.454,174.575
Potassium Hexachloroaluminate (K3AlCl6),Al1Cl6K3(cr),298.15,248.906,376.560,376.560,0.,-2092.000,-1938.463,339.611
Sodium Hexachloroaluminate (Na3AlCl6),Al1Cl6Na3(cr),298.15,244.136,347.272,347.272,0.,-1979.032,-1828.584,320.360
"Aluminum Fluoride, Ion (AlF+)",Al1F1+(g),298.15,31.155,220.065,220.065,0.,692.034,658.828,-115.424
Aluminum Fluoride (AlF),Al1F1(g),298.15,31.932,215.157,215.157,0.,-265.684,-291.172,51.012
Aluminum Fluoride (AlF2),Al1F2(g),298.15,45.857,264.209,264.209,0.,-694.544,-704.426,123.413
Aluminum Fluoride Oxide (OAlF),Al1F1O1(g),298.15,46.806,237.316,237.316,0.,-581.576,-583.088,102.155
"Aluminum Fluoride, Ion (AlF2-)",Al1F2-(g),298.15,46.511,260.046,260.046,0.,-907.928,-910.314,159.483
"Aluminum Fluoride Oxide, Ion (OAlF2-)",Al1F2O1-(g),298.15,62.592,284.870,284.870,0.,-1309.592,-1288.797,225.792
Aluminum Fluoride Oxide (OAlF2),Al1F2O1(g),298.15,63.390,292.705,292.705,0.,-1108.760,-1096.556,192.112
Aluminum Fluoride (AlF3),Al1F3(cr),298.15,75.132,66.484,66.484,0.,-1510.424,-1431.123,250.727
Aluminum Fluoride (AlF3),Al1F3(l),298.15,97.475,95.379,95.379,0.,-1422.760,-1352.074,236.878
Aluminum Fluoride (AlF3),"Al1F3(cr,l)",298.15,75.132,66.484,66.484,0.,-1510.424,-1431.123,250.727
"Tetrafluoroaluminate, Ion (AlF4-)",Al1F4-(g),298.15,82.157,294.747,294.747,0.,-1991.584,-1943.855,340.555
Aluminum Fluoride (AlF3),Al1F3(g),298.15,62.239,276.691,276.691,0.,-1209.322,-1192.695,208.955
Sodium Tetrafluoroaluminate (NaAlF4),Al1F4Na1(g),298.15,103.954,344.896,344.896,0.,-1840.960,-1799.096,315.194
Potassium Hexafluoraluminate (K3AlF6),Al1F6K3(cr),298.15,222.798,284.512,284.512,0.,-3326.280,-3163.447,554.223
Lithium Hexafluoroaluminate (Li3AlF6),Al1F6Li3(cr),298.15,202.506,187.891,187.891,0.,-3383.601,-3223.790,564.795
Lithium Hexafluoroaluminate (Li3AlF6),Al1F6Li3(l),298.15,202.506,245.847,245.847,0.,-3317.640,-3175.109,556.266
Lithium Hexafluoroaluminate (Li3AlF6),"Al1F6Li3(cr,l)",298.15,202.506,187.891,187.891,0.,-3383.601,-3223.790,564.795
Lithium Tetrafluoroaluminate (LiAlF4),Al1F4Li1(g),298.15,99.790,326.497,326.497,0.,-1853.512,-1812.832,317.601
"Cryolite, Beta (Na3AlF6)",Al1F6Na3(cr),298.15,194.723,284.881,284.881,0.,-3288.781,-3137.880,549.744
Cryolite (Na3AlF6),Al1F6Na3(l),298.15,215.727,286.058,286.058,0.,-3246.472,-3095.921,542.393
Cryolite (Na3AlF6),"Al1F6Na3(cr,l)",298.15,215.727,238.467,238.467,0.,-3316.908,-3152.168,552.247
Aluminum Hydride (AlH),Al1H1(g),298.15,29.373,187.864,187.864,0.,259.408,231.308,-40.524
Aluminum Hydride Oxide (OAlH),Al1H1O1(g),298.15,34.569,215.256,215.256,0.,33.472,27.787,-4.868
Aluminum Hydroxide (AlOH),Al1H1O1(g),298.15,31.918,216.430,216.430,0.,-179.912,-185.947,32.577
"Aluminum Hydroxide, Ion (AlOH+)",Al1H1O1+(g),298.15,33.535,228.693,228.693,0.,543.920,527.974,-92.499
"Aluminum Hydroxide, Ion (AlOH-)",Al1H1O1-(g),298.15,36.521,239.810,239.810,0.,-230.120,-236.871,41.499
Aluminum Hydroxide Oxide (OAlOH),Al1H1O2(g),298.15,50.137,254.391,254.391,0.,-460.240,-447.011,78.314
"Aluminum Fluoride, Ion (AlF2+)",Al1F2+(g),298.15,49.281,239.299,239.299,0.,92.048,83.338,-14.601
"Cryolite, Alpha (Na3AlF6)",Al1F6Na3(cr),298.15,215.727,238.467,238.467,0.,-3316.908,-3152.168,552.247
Lithium Tetrahydroaluminate (LiAlH4),Al1H4Li1(cr),298.15,86.400,87.864,87.864,0.,-117.152,-48.323,8.466
Aluminum Iodide (AlI),Al1I1(g),298.15,36.127,247.830,247.830,0.,67.948,19.802,-3.469
Aluminum Iodide (AlI3),Al1I3(cr),298.15,98.910,196.104,196.104,0.,-302.922,-301.018,52.737
Aluminum Iodide (AlI3),Al1I3(g),298.15,77.081,373.616,373.616,0.,-193.301,-244.323,42.804
Lithium Aluminum Oxide (LiAlO2),Al1Li1O2(cr),298.15,67.777,53.313,53.313,0.,-1188.674,-1126.303,197.324
Aluminum Iodide (AlI3),Al1I3(l),298.15,121.336,223.648,223.648,0.,-289.444,-295.752,51.815
Lithium Aluminum Oxide (LiAlO2),Al1Li1O2(l),298.15,67.777,93.711,93.711,0.,-1107.739,-1057.412,185.254
Lithium Aluminum Oxide (LiAlO2),"Al1Li1O2(cr,l)",298.15,67.777,53.313,53.313,0.,-1188.674,-1126.303,197.324
Aluminum Iodide (AlI3),"Al1I3(cr,l)",298.15,98.910,196.104,196.104,0.,-302.922,-301.018,52.737
Aluminum Nitride (AlN),Al1N1(cr),298.15,30.097,20.142,20.142,0.,-317.984,-286.995,50.280
Aluminum Nitride (AlN),Al1N1(g),298.15,32.367,228.553,228.553,0.,523.000,491.851,-86.170
Aluminum Oxide (AlO),Al1O1(g),298.15,30.883,218.386,218.386,0.,66.944,40.845,-7.156
"Aluminum Oxide, Ion (AlO+)",Al1O1+(g),298.15,33.135,230.975,230.975,0.,992.993,956.886,-167.642
"Aluminum Oxide, Ion (AlO-)",Al1O1-(g),298.15,31.303,212.807,212.807,0.,-269.424,-287.606,50.387
Aluminum Oxide (AlO2),Al1O2(g),298.15,49.892,251.832,251.832,0.,-86.190,-91.679,16.062
"Aluminum Oxide, Ion (AlO2-)",Al1O2-(g),298.15,47.528,235.094,235.094,0.,-489.210,-483.454,84.699
Aluminum (Al2),Al2(g),298.15,38.448,233.531,233.531,0.,487.018,434.251,-76.079
Sodium Aluminum Oxide (NaAlO2),Al1Na1O2(cr),298.15,73.638,70.400,70.400,0.,-1133.195,-1069.248,187.328
Aluminum Sulfide (AlS),Al1S1(g),298.15,33.398,230.601,230.601,0.,238.488,187.722,-32.888
Beryllium Aluminum Oxide (BeAl2O4),"Al2Be1O4(cr,l)",298.15,105.380,66.291,66.291,0.,-2300.782,-2178.542,381.672
Beryllium Aluminum Oxide (BeAl2O4),Al2Be1O4(l),298.15,105.380,126.406,126.406,0.,-2163.842,-2059.526,360.820
Aluminum Bromide ((AlBr3)2),Al2Br6(g),298.15,167.514,547.220,547.220,0.,-937.216,-947.368,165.975
Aluminum Chloride ((AlCl3)2),Al2Cl6(g),298.15,158.858,475.050,475.050,0.,-1295.743,-1220.985,213.912
Aluminum Fluoride ((AlF3)2),Al2F6(g),298.15,132.744,387.294,387.294,0.,-2633.619,-2550.845,446.897
Beryllium Aluminum Oxide (BeAl2O4),Al2Be1O4(cr),298.15,105.380,66.291,66.291,0.,-2300.782,-2178.542,381.672
Magnesium Aluminum Oxide (MgAl2O4),Al2Mg1O4(cr),298.15,116.198,88.692,88.692,0.,-2299.108,-2176.621,381.335
Magnesium Aluminum Oxide (MgAl2O4),Al2Mg1O4(l),298.15,116.198,168.473,168.473,0.,-2106.527,-2007.826,351.763
Potassium Aluminum Chloride (K3Al2Cl9),Al2Cl9K3(cr),298.15,337.230,468.608,468.608,0.,-2860.182,-2625.893,460.046
Aluminum Iodide ((AlI3)2),Al2I6(g),298.15,171.953,597.380,597.380,0.,-489.528,-546.893,95.813
"Aluminum Oxide, Ion (Al2O+)",Al2O1+(g),298.15,52.897,260.660,260.660,0.,652.436,615.909,-107.905
Magnesium Aluminum Oxide (MgAl2O4),"Al2Mg1O4(cr,l)",298.15,116.198,88.692,88.692,0.,-2299.108,-2176.621,381.335
"Aluminum Oxide, Ion (Al2O2+)",Al2O2+(g),298.15,68.923,289.700,289.700,0.,567.414,552.810,-96.850
Aluminum Oxide ((AlO)2),Al2O2(g),298.15,67.164,280.980,280.980,0.,-394.551,-400.300,70.131
"Aluminum Oxide, Alpha (Al2O3)",Al2O3(cr),298.15,79.015,50.950,50.950,0.,-1675.692,-1582.275,277.208
"Aluminum Oxide, Gamma (Al2O3)",Al2O3(cr),298.15,82.729,52.300,52.300,0.,-1656.864,-1563.850,273.980
"Aluminum Oxide, Kappa (Al2O3)",Al2O3(cr),298.15,80.753,53.555,53.555,0.,-1662.303,-1569.663,274.998
Aluminum Oxide (Al2O),Al2O1(g),298.15,52.032,252.332,252.332,0.,-145.185,-172.975,30.304
Aluminum Oxide (Al2O3),Al2O3(l),298.15,79.015,67.298,67.298,0.,-1620.567,-1532.025,268.404
"Aluminum Oxide, Delta (Al2O3)",Al2O3(cr),298.15,81.385,50.626,50.626,0.,-1666.487,-1572.974,275.579
"Aluminum Silicate, Andalusite (Al2SiO5)",Al2O5Si1(cr),298.15,122.755,93.221,93.221,0.,-2592.072,-2444.482,428.263
"Aluminum Silicate, Kyanite (Al2SiO5)",Al2O5Si1(cr),298.15,121.751,83.815,83.815,0.,-2594.331,-2443.937,428.168
Aluminum Sulfide (Al2S3),Al2S3(cr),298.15,105.064,116.847,116.847,0.,-651.030,-640.335,112.184
Chiolite (Na5Al3F14),Al3F14Na5(cr),298.15,454.006,483.545,483.545,0.,-7581.408,-7200.348,1261.471
"Aluminum Silicate, Sillimanite (Al2SiO5)",Al2O5Si1(cr),298.15,122.215,96.179,96.179,0.,-2589.101,-2442.394,427.897
Chiolite (Na5Al3F14),Al3F14Na5(l),298.15,454.006,532.124,532.124,0.,-7497.408,-7130.832,1249.292
Chiolite (Na5Al3F14),"Al3F14Na5(cr,l)",298.15,454.006,483.545,483.545,0.,-7581.408,-7200.348,1261.471
Beryllium Aluminum Oxide (BeAl6O10),Al6Be1O10(l),298.15,265.186,314.903,314.903,0.,-5299.312,-5033.981,881.933
"Aluminum Silicate, Mullite (Al6Si2O13)",Al6O13Si2(cr),298.15,325.641,274.889,274.889,0.,-6819.209,-6441.793,1128.575
Beryllium Aluminum Oxide (BeAl6O10),"Al6Be1O10(cr,l)",298.15,265.186,175.552,175.552,0.,-5624.133,-5317.254,931.561
Aluminum Oxide (Al2O3),"Al2O3(cr,l)",298.15,79.015,50.950,50.950,0.,-1675.692,-1582.275,277.208
Beryllium Aluminum Oxide (BeAl6O10),Al6Be1O10(cr),298.15,265.186,175.552,175.552,0.,-5624.133,-5317.254,931.561
Aluminum (Al),Al1(cr),298.15,24.209,28.275,28.275,0.,0.,0.,0.
Argon (Ar),Ar1(ref),298.15,20.786,154.845,154.845,0.,0.,0.,0.
"Argon, Ion (Ar+)",Ar1+(g),298.15,20.984,166.404,166.404,0.,1526.778,1517.077,-265.786
Boron (B),B1(ref),298.15,11.315,5.834,5.834,0.,0.,0.,0.
"Boron, Beta-Rhombohedral (B)",B1(cr),298.15,11.315,5.834,5.834,0.,0.,0.,0.
Boron (B),"B1(cr,l)",298.15,11.315,5.834,5.834,0.,0.,0.,0.
Boron (B),B1(l),298.15,11.315,26.555,26.555,0.,48.927,42.749,-7.490
Boron (B),B1(g),298.15,20.796,153.435,153.435,0.,560.000,515.993,-90.400
Beryllium Borate (BeBO2),B1Be1O2(g),298.15,50.168,265.396,265.396,0.,-481.997,-495.406,86.793
"Boron, Ion (B+)",B1+(g),298.15,20.786,138.542,138.542,0.,1366.717,1320.895,-231.415
Bromoborane (BBr),B1Br1(g),298.15,32.788,224.997,224.997,0.,234.304,191.651,-33.576
Bromochloroborane (BBrCl),B1Br1Cl1(g),298.15,46.846,289.033,289.033,0.,-10.460,-38.950,6.824
"Boron, Ion (B-)",B1-(g),298.15,20.788,156.811,156.811,0.,527.033,488.274,-85.544
Bromofluoroborane (BBrF),B1Br1F1(g),298.15,43.546,275.770,275.770,0.,-240.580,-268.140,46.977
Bromodichloroborane (BBrCl2),B1Br1Cl2(g),298.15,64.398,310.400,310.400,0.,-336.812,-338.417,59.289
Bromodifluoroborane (BBrF2),B1Br1F2(g),298.15,56.450,286.387,286.387,0.,-820.064,-820.559,143.759
Boron Bromide Oxide (OBBr),B1Br1O1(g),298.15,46.810,248.895,248.895,0.,-251.040,-270.236,47.344
Dibromochloroborane (BBr2Cl),B1Br2Cl1(g),298.15,66.028,321.889,321.889,0.,-271.960,-287.556,50.379
Dibromoborane (BBr2),B1Br2(g),298.15,48.056,294.662,294.662,0.,62.760,22.026,-3.859
Tribromoborane (BBr3),B1Br3(g),298.15,67.771,324.307,324.307,0.,-204.179,-231.062,40.481
Dibromofluoroborane (BBr2F),B1Br2F1(g),298.15,62.316,309.994,309.994,0.,-514.632,-529.706,92.802
Tribromoborane (BBr3),B1Br3(l),298.15,128.030,228.865,228.865,0.,-238.488,-236.914,41.506
"Chloroborane, Ion (BCl+)",B1Cl1+(g),298.15,31.643,219.131,219.131,0.,1234.280,1197.686,-209.830
Chlorofluoroborane (BClF),B1Cl1F1(g),298.15,42.547,264.650,264.650,0.,-313.800,-327.480,57.373
Dibromoborane (BHBr2),B1Br2H1(g),298.15,53.246,292.265,292.265,0.,-104.600,-125.138,21.924
Chloroborane (BCl),B1Cl1(g),298.15,31.659,213.245,213.245,0.,141.419,112.835,-19.768
Dichloroborane (BCl2),B1Cl2(g),298.15,47.375,272.677,272.677,0.,-79.496,-92.544,16.213
Chlorodifluoroborane (BClF2),B1Cl1F2(g),298.15,54.466,274.830,274.830,0.,-885.334,-871.818,152.739
"Dichloroborane, Ion (BCl2-)",B1Cl2-(g),298.15,46.614,266.251,266.251,0.,-146.440,-151.317,26.510
"Dichloroborane, Ion (BCl2+)",B1Cl2+(g),298.15,52.974,257.805,257.805,0.,674.042,659.173,-115.484
Boron Chloride Oxide (OBCl),B1Cl1O1(g),298.15,45.040,237.417,237.417,0.,-316.310,-321.519,56.329
Fluoroborane (BF),B1F1(g),298.15,29.591,200.479,200.479,0.,-115.897,-143.699,25.176
Dichlorofluoroborane (BCl2F),B1Cl2F1(g),298.15,59.063,287.675,287.675,0.,-644.336,-631.625,110.658
Boron Fluoride Oxide (OBF),B1F1O1(g),298.15,40.996,224.803,224.803,0.,-602.496,-606.969,106.338
"Difluoroborane, Ion (BF2+)",B1F2+(g),298.15,44.291,225.148,225.148,0.,322.586,311.405,-54.557
Trichloroborane (BCl3),B1Cl3(g),298.15,62.392,290.169,290.169,0.,-402.961,-387.969,67.971
Difluoroborane (BF2),B1F2(g),298.15,40.555,247.157,247.157,0.,-589.944,-601.433,105.369
Difluoroborane (BHF2),B1F2H1(g),298.15,42.358,244.029,244.029,0.,-733.874,-724.949,127.008
Difluorohydroxyborane (BF2OH),B1F2H1O1(g),298.15,51.982,269.174,269.174,0.,-1083.656,-1051.646,184.244
Boron Fluoride Oxide (OBF2),B1F2O1(g),298.15,50.199,267.842,267.842,0.,-836.800,-823.874,144.339
Trifluoroborane (BF3),B1F3(g),298.15,50.446,254.355,254.355,0.,-1135.621,-1119.025,196.049
Potassium Tetrafluoroborate (KBF4),B1F4K1(cr),298.15,114.483,133.888,133.888,0.,-1886.984,-1784.958,312.717
Potassium Tetrafluoroborate (KBF4),B1F4K1(l),298.15,167.117,150.129,150.129,0.,-1869.415,-1772.232,310.488
Potassium Tetrafluoroborate (KBF4),"B1F4K1(cr,l)",298.15,114.483,133.888,133.888,0.,-1886.984,-1784.958,312.717
Dichloroborane (BHCl2),B1Cl2H1(g),298.15,49.644,268.272,268.272,0.,-248.111,-240.365,42.111
Potassium Tetrafluoroborate (KBF4),B1F4K1(g),298.15,88.941,315.394,315.394,0.,-1552.264,-1504.354,263.557
Borane (BH),B1H1(g),298.15,29.181,171.849,171.849,0.,442.667,412.651,-72.295
"Boron Hydride Oxide, Ion (HBO-)",B1H1O1-(g),298.15,35.199,227.058,227.058,0.,-244.471,-254.111,44.519
"Difluoroborane, Ion (BF2-)",B1F2-(g),298.15,40.352,240.740,240.740,0.,-802.073,-805.394,141.102
Boric Acid (HBO2),B1H1O2(cr),298.15,54.392,48.953,48.953,0.,-802.784,-486.201,85.180
"Boron Hydride Oxide, Ion (HBO+)",B1H1O1+(g),298.15,34.744,214.565,214.565,0.,1187.545,1169.120,-204.825
Boron Hydride Sulfide (HBS),B1H1S1(g),298.15,36.789,214.964,214.964,0.,50.208,16.894,-2.960
"Boron Hydride Sulfide, Ion (HBS+)",B1H1S1+(g),298.15,39.455,225.350,225.350,0.,1129.471,1086.806,-190.404
Dihydroxyborane (B(OH)2),B1H2O2(g),298.15,52.015,243.589,243.589,0.,-476.976,-447.736,78.441
Borane (BH3),B1H3(g),298.15,36.221,187.876,187.876,0.,106.692,110.859,-19.422
Boric Acid (H3BO3),B1H3O3(cr),298.15,81.337,88.743,88.743,0.,-1093.990,-968.520,169.681
Borane (BH2),B1H2(g),298.15,34.026,180.195,180.195,0.,200.832,187.809,-32.903
Boron Hydride Oxide (HBO),B1H1O1(g),298.15,35.260,202.617,202.617,0.,-198.322,-206.929,36.253
Boric Acid (H3BO3),B1H3O3(g),298.15,65.338,295.237,295.237,0.,-992.277,-928.373,162.647
Sodium Tetrahydroborate (NaBH4),B1H4Na1(cr),298.15,86.483,101.387,101.387,0.,-191.836,-127.060,22.260
Boric Acid (HBO2),B1H1O2(g),298.15,42.232,239.734,239.734,0.,-560.656,-549.748,96.313
Iodoborane (BI),B1I1(g),298.15,33.558,232.750,232.750,0.,305.432,255.091,-44.691
Potassium Tetrahydroborate (KBH4),B1H4K1(cr),298.15,96.571,106.608,106.608,0.,-226.898,-159.738,27.986
Potassium Borate (KBO2),B1K1O2(cr),298.15,67.028,79.981,79.981,0.,-994.955,-936.616,164.091
Potassium Borate (KBO2),B1K1O2(l),298.15,67.028,88.455,88.455,0.,-980.730,-924.917,162.042
Potassium Borate (KBO2),"B1K1O2(cr,l)",298.15,67.028,79.981,79.981,0.,-994.955,-936.616,164.091
Potassium Borate (KBO2),B1K1O2(g),298.15,59.027,297.408,297.408,0.,-674.042,-680.529,119.226
Lithium Borate (LiBO2),B1Li1O2(cr),298.15,60.371,51.731,51.731,0.,-1019.222,-963.070,168.726
Lithium Borate (LiBO2),B1Li1O2(l),298.15,60.371,65.547,65.547,0.,-1000.259,-948.226,166.125
Triiodoborane (BI3),B1I3(g),298.15,70.787,348.721,348.721,0.,71.128,20.838,-3.651
Lithium Borate (LiBO2),B1Li1O2(g),298.15,57.246,274.727,274.727,0.,-646.846,-657.181,115.135
Diiodoborane (BI2),B1I2(g),298.15,49.083,309.560,309.560,0.,242.672,186.744,-32.717
Boron Nitride (BN),B1N1(g),298.15,29.450,212.358,212.358,0.,476.976,443.965,-77.781
Lithium Borate (LiBO2),"B1Li1O2(cr,l)",298.15,60.371,51.731,51.731,0.,-1019.222,-963.070,168.726
Boron Nitride (BN),B1N1(cr),298.15,19.719,14.795,14.795,0.,-250.914,-225.022,39.423
Sodium Borate (NaBO2),B1Na1O2(l),298.15,65.940,82.958,82.958,0.,-960.019,-906.507,158.816
Sodium Borate (NaBO2),B1Na1O2(cr),298.15,65.940,73.538,73.538,0.,-975.709,-919.389,161.073
Sodium Borate (NaBO2),B1Na1O2(g),298.15,58.233,287.248,287.248,0.,-648.520,-655.918,114.914
Sodium Borate (NaBO2),"B1Na1O2(cr,l)",298.15,65.940,73.538,73.538,0.,-975.709,-919.389,161.073
Boron Oxide (BO),B1O1(g),298.15,29.196,203.472,203.472,0.,0.,-28.343,4.966
"Boron Oxide, Ion (BO2-)",B1O2-(g),298.15,39.119,215.922,215.922,0.,-694.544,-689.762,120.843
Boron Oxide (BO2),B1O2(g),298.15,43.276,229.814,229.814,0.,-284.512,-290.127,50.829
Boron (B2),B2(g),298.15,31.594,202.072,202.072,0.,829.687,772.918,-135.412
Boron Sulfide (BS),B1S1(g),298.15,30.051,216.190,216.190,0.,243.090,189.930,-33.275
Titanium Boride (TiB),B1Ti1(cr),298.15,29.673,34.727,34.727,0.,-160.247,-159.691,27.977
Beryllium Borate (Be3B2O6),B2Be3O6(cr),298.15,139.746,100.416,100.416,0.,-3104.361,-2938.883,514.880
Difluoroborane ((BF2)2),B2F4(g),298.15,76.891,318.473,318.473,0.,-1431.765,-1402.315,245.680
Beryllium Borate (Be(BO2)2),B2Be1O4(g),298.15,91.764,326.785,326.785,0.,-1351.432,-1320.240,231.301
Difluoroborane Oxide (O(BF2)2),B2F4O1(g),298.15,81.853,337.523,337.523,0.,-1898.072,-1843.720,323.012
Dichloroborane ((BCl2)2),B2Cl4(g),298.15,94.839,358.956,358.956,0.,-489.110,-459.631,80.526
Dihydroxyborane ((B(OH)2)2),B2H4O4(g),298.15,103.433,348.929,348.929,0.,-1284.488,-1184.789,207.570
Magnesium Boride (MgB2),B2Mg1(cr),298.15,47.823,35.982,35.982,0.,-91.964,-89.473,15.675
Diborane (B2H6),B2H6(g),298.15,58.100,233.170,233.170,0.,41.003,91.849,-16.092
Dihydroxyborane ((B(OH)2)2),B2H4O4(cr),298.15,116.190,125.520,125.520,0.,-1410.426,-1244.118,217.964
Boron Oxide ((BO)2),B2O2(g),298.15,57.297,242.597,242.597,0.,-456.056,-463.743,81.246
Boron Oxide (B2O),B2O1(g),298.15,38.410,227.744,227.744,0.,96.232,62.391,-10.931
Boron Oxide (B2O3),"B2O3(cr,l)",298.15,62.588,53.953,53.953,0.,-1271.936,-1192.796,208.973
Boron Oxide (B2O3),B2O3(g),298.15,66.855,283.768,283.768,0.,-835.963,-825.343,144.597
Lead Borate (PbB2O4),B2O4Pb1(cr),298.15,107.110,130.541,130.541,0.,-1556.448,-1450.245,254.077
Boron Oxide (B2O3),B2O3(cr),298.15,62.588,53.953,53.953,0.,-1271.936,-1192.796,208.973
Titanium Boride (TiB2),B2Ti1(cr),298.15,44.279,28.485,28.485,0.,-279.491,-275.334,48.237
Titanium Boride (TiB2),"B2Ti1(cr,l)",298.15,44.279,28.485,28.485,0.,-279.491,-275.334,48.237
Zirconium Boride (ZrB2),B2Zr1(cr),298.15,48.242,35.941,35.941,0.,-322.586,-318.234,55.753
