CAS,Comment,Formula,IE,Method,Name,Refer
 51231-84-6,, C,6.60 ¡À 0.13,EI,"Molybdenum,bromobis(¦Ç","Harris and Spalding, 1980"
 63340-08-9,Vertical value, C,8.64,PE,"Benzene,1-chloro-4-[1-(1,1-dimethylethyl)cyclopropyl]-","Prins, Verhoeven, et al., 1977"
 71017-42-0,, C,8.79,PE,"2-Azabicyclo[3.2.1]oct-6-ene,2-(phenylsulfonyl)-","Barraclough, Bilgic, et al., 1979"
 2063-89-0,Vertical value, C,8.18,PE,"2-Azabicyclo[3.2.1]oct-3-ene,2-(phenylsulfonyl)-","Barraclough, Bilgic, et al., 1979"
 56359-28-5,, C,7.9 ¡À 0.1,EI,"Indeno[1,2-b]azirin-6(1H)-one,1-butyl-1a,6a-dihydro-","Hansen and Undheim, 1975"
 20571-42-0,Vertical value, C,7.41,PE,"2H-1-Benzopyran-2-one, 7-(diethylamino)-","Redchenko, Safronov, et al., 1992"
 15745-94-5,, C,8.71,EI,"2,4-Azetidinedione,3,3-diethyl-1-phenyl-","Compernolle and DeSchryver, 1975"
 109316-13-4,, C,7.73 ¡À 0.05,EI,Isocyanotoluenemolybdenum pentacarbonyl,"Distefano, Innorta, et al., 1968"
 29160-37-0,, C,7.3 ¡À 0.1,EI,"Chromium,pentacarbonyl[(4-chlorophenyl)methoxymethylene]-","Fischer, Kreiter, et al., 1971"
 68586-68-5,Vertical value, C,6.5 ¡À 0.1,PE,"Tantalum, bis(¦Ç","Van Dam, Terpstra, et al., 1981"
 32610-45-0, , C,6.3,PE,"Rhodium, [(1,2,5,6-¦Ç)-1,5-cyclooctadiene](¦Ç5-2,4-cyclopentadien-1-yl)-","Green, Powell, et al., 1984"
 53248-14-9,, C,6.6,EI,"Chromium,dicarbonyl[(1,2,3,4,5,6-¦Ç)-methylbenzoate](trimethylphosphite-p)-","Simonneaux, Jaouen, et al., 1977"
 12184-35-9, , C,6.5,PE,"Cobalt, [(1,2,5,6-¦Ç)-1,5-cyclooctadiene](¦Ç5-2,4-cyclopentadien-1-yl)-","Wakatuski, Yamazaki, et al., 1987"
 51231-83-5,, C,6.55 ¡À 0.12,EI,"Molybdenum,chlorobis(¦Ç","Harris and Spalding, 1980"
 13524-43-1,Vertical value, C,9.13,PE,"Boron, dibutyl-(pentan-2,4-dionato)-","Borisenko, Vovna, et al., 1987"
 3007-70-3,, C,7.5,CTS,N-Heptylaniline,"Briegleb and Czekalla, 1959"
 16067-45-1,, C,7.27 ¡À 0.02,EI,"4-Quinolinol, 4-ethynyldecahydro-1,2-dimethyl-, (2¦Á,4¦Á,4a¦Â,8a¦Á)-","Zaikin and Wulfson, 1978"
 16067-80-4,, C,7.40 ¡À 0.02,EI,"4-Quinolinol, 4-ethynyldecahydro-1,2-dimethyl-, (2¦Á,4¦Á,4a¦Á,8a¦Â)-","Zaikin and Wulfson, 1978"
 13358-76-4,Vertical value; , C,7.67,PE,"5,5-Dimethyl-3-(piperidino)cyclohex-2-en-1-one","Pfister-Guillouzo, Geribaldi, et al., 1982"
 14788-65-9,, C,7.41 ¡À 0.02,EI,"4-Quinolinol, 4-ethynyldecahydro-1,2-dimethyl-, (2¦Á,4¦Â,4a¦Á,8a¦Â)-","Zaikin and Wulfson, 1978"
 51249-26-4,, C,6.51 ¡À 0.09,EI,"Molybdenum,bis(¦Ç","Harris and Spalding, 1980"
 82663-50-1,Vertical value; , C,8.07,PE,"5,5-Dimethyl-3-(n-pentylamino)cyclohex-2-en-1-one","Pfister-Guillouzo, Geribaldi, et al., 1982"
 20431-95-2,, C,7.39 ¡À 0.02,EI,"4-Quinolinol, 4-ethenyldecahydro-1,2-dimethyl-, (2¦Á,4¦Â,4a¦Á,8a¦Â)-","Zaikin and Wulfson, 1978"
 20431-91-8,, C,7.26 ¡À 0.02,EI,"4-Quinolinol, 4-ethenyldecahydro-1,2-dimethyl-, (2¦Á,4¦Á,4a¦Â,8a¦Á)-","Zaikin and Wulfson, 1978"
 20431-93-0,, C,7.43 ¡À 0.02,EI,"4-Quinolinol, 4-ethenyldecahydro-1,2-dimethyl-, (2¦Á,4¦Á,4a¦Á,8a¦Â)-","Zaikin and Wulfson, 1978"
 51192-04-2,, C,6.77 ¡À 0.12,EI,"Tantalum,bis(¦Ç","Harris and Spalding, 1980"
 84509-55-7,LBLHLM, C,6.8,PE,1-Azabicyclo[4.4.4]tetradec-5-ene,"Alder, Arrowsmith, et al., 1982"
 64503-45-3,Vertical value, C,8.17 ¡À 0.05,PE,"Thioborinic acid, dipropyl-, 4-methoxyphenyl ester","Bernardi, Danieli, et al., 1977"
 64503-47-5,Vertical value, C,8.59 ¡À 0.05,PE,"Thioborinic acid, dipropyl-, 3-methylphenyl ester","Bernardi, Danieli, et al., 1977"
 36252-42-3,, C,7.65 ¡À 0.05,EI,Pentacarbonyl(2-pyridinecarbonitrile-N(1))tungsten,"Distefano, Foffani, et al., 1971"
 64503-46-4,Vertical value, C,8.48 ¡À 0.05,PE,"Thioborinic acid, dipropyl-, 4-methylphenyl ester","Bernardi, Danieli, et al., 1977"
 6409-44-5,, C,9.5,EI,3-chloro-7H-benzo[de]anthracen-7-one,"Abliz, Ueda, et al., 1990"
 113035-27-1,Vertical value, C,6.7,PE,"2-Azapentalene, 1,3-bis(dimethylamino)-4,6-bis(trimethylsilyl)-","Eckert-Maksic, Gleiter, et al., 1988"
 568-02-5,, C,7.35,PI,"Naphtho[2,3-f]quinoline-7,12-dione, 5,6-dihydroxy-","Terenin, 1961"
 2844-24-8,LBLHLM, C,6.16,PE,"(E)-4-(2-(4-Methoxyphenyl)ethenyl)benzenamine, N,N-dimethyl","Cauletti, Furlani, et al., 1985"
 70389-13-8,Vertical value, C,7.7,PE,16-Azatricyclo[9.2.2.1,"Reingold, Schmidt, et al., 1979"
 57-27-2,Vertical value, C,8.3,PE,Morphine,"Popkie, Koski, et al., 1976"
 225-11-6,, C,8.1 ¡À 0.1,CTS,Benzo(a)acridine,"Farrell and Newton, 1966"
 225-51-4,, C,8.1 ¡À 0.1,CTS,Benz[c]acridine,"Farrell and Newton, 1966"
 24151-56-2,, C,8.4 ¡À 0.1,EI,"Rhodium, dicarbonyl(1,3-diphenyl-1,3-propanedionato-o,o')-","Bonati, Distefano, et al., 1971"
 21485-21-2,, C,7.85 ¡À 0.05,EI,Tri-n-butylphosphite-p-tungsten pentacarbonyl,"Distefano, Innorta, et al., 1968"
 21485-22-3,, C,7.71 ¡À 0.05,EI,Tributylphosphite molybdenum pentacarbonyl,"Distefano, Innorta, et al., 1968"
 15680-62-3,, C,7.51 ¡À 0.05,EI,Tributylphosphinemolybdenum pentacarbonyl,"Distefano, Innorta, et al., 1968"
 17000-19-0,RDSH, C,7.63 ¡À 0.05,EI,"Tungsten, pentacarbonyl(tributylphosphine)-","Distefano, Innorta, et al., 1968"
 18497-59-1,RDSH, C,7.37 ¡À 0.05,EI,"Chromium, pentacarbonyl(tributylphosphine)-","Distefano, Innorta, et al., 1968"
 50-53-3,LLK, C,8.25 ¡À 0.07,CTS,Chlorpromazine,"Poltorakov, Pirnazarova, et al., 1973"
 36189-45-4,, C,8.5,EI,"7H-Benz[de]anthracene-7-one, 3-iodo-","Abliz, Ueda, et al., 1990"
 81-96-9,, C,8.5,EI,3-Bromobenzanthrone,"Abliz, Ueda, et al., 1990"
 59788-15-7,Vertical value, C,7.15,PE,"2H-Dibenz[e,g]isoindole,2-methyl-","Rettig and Wirz, 1976"
 64000-97-1,Vertical value, C,7.67,PE,16-Azatricyclo[9.2.2.1,"Reingold, Schmidt, et al., 1979"
 69372-72-1,Vertical value, C,7.27,PE,"Rhodium, 2,2,6,6-tetramethylheptan-3,5-dionato-o,o')-bis¦Ç","Van Dam, Terpstra, et al., 1980"
 3576-45-2,, C,8.24 ¡À 0.07,CTS,"10H-Phenothiazine,2-chloro-10-[3-(dimethylamino)-1-oxopropyl]-","Poltorakov, Pirnazarova, et al., 1973"
 20336-15-6,Vertical value; , C,8.6,PE,"Pyridine, 2,4,6-tris(1,1-dimethylethyl)-","Heilbronner, Hornung, et al., 1972"
 17420-29-0,Vertical value, C,8,PE,"Phosphorin, 2,4,6-tris(1,1-dimethylethyl)-","Oehling, Schafer, et al., 1971"
 24833-58-7,Vertical value, C,7.54,PE,"Platinum, chlorobis(dimethylphenylphosphine)methyl-","Behan, Johnstone, et al., 1978"
 24833-62-3,Vertical value, C,7.43,PE,"Platinum,bromobis(dimethylphenylphosphine)methyl-","Behan, Johnstone, et al., 1978"
 24882-77-7,Vertical value, C,7.12,PE,"Platinum,bis(dimethylphenylphosphine)iodomethyl-(sp-4-3)-","Behan, Johnstone, et al., 1978"
 33021-47-5,LBLHLM, C,11.3,PE,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,-Octadecafluoro-2,3,4,5,6,7,8,9-octahydro-1H-trindene","Heilbronner, Wirz, et al., 1984"
