CAS,Comment,Formula,IE,Method,Name,Refer
 7440-11-1,LL, Md,6.58,EVAL,Mendelevium,"Lide, 1992"
 7440-51-9,LL, Cm,6.02,EVAL,Curium,"Lide, 1992"
 7440-71-3,LL, Cf,6.3,EVAL,Californium,"Lide, 1992"
 10028-14-5,LL, No,6.65,EVAL,Nobelium,"Lide, 1992"
 7440-61-1,LL, U,6.19405,EVAL,uranium,"Lide, 1992"
 7440-73-5,LBLHLM, Fr,4.0712 ¡À 0.00004,S,Francium,"Andreev, Letokhov, et al., 1987"
 7440-24-6,LL, Sr,5.69484,EVAL,strontium,"Lide, 1992"
 7440-67-7,LL, Zr,6.6339,EVAL,zirconium,"Lide, 1992"
 12165-45-6,LLK, O,12.0 ¡À 0.2,EI,Tetratungsten dodecaoxide,"Bennett, Lin, et al., 1974"
 12503-98-9,LLK, O,11.8 ¡À 0.3,EI,Tetravanadium decaoxide,"Bennett, Lin, et al., 1974"
 16752-60-6,LLK, O,13.0 ¡À 0.5,EI,Tetraphosphorus decaoxide,"Smoes and Drowart, 1973"
 12036-21-4,LLK, O,12.7 ¡À 0.2,EI,vanadium dioxide,"Bennett, Lin, et al., 1974"
 37367-16-1,, Sb,9.8 ¡À 0.3,EI,Triantimony diselenide,"Sullivan, Prusaczyk, et al., 1970"
 37367-15-0,, Sb,9.6 ¡À 0.3,EI,Triantimony monoselenide,"Sullivan, Prusaczyk, et al., 1970"
 62462-71-9,, OTb,6.6 ¡À 0.8,EI,Diterbium monoxide,"Kordis and Gingerich, 1977"
 12137-18-7,LL, ORh,8.63 ¡À 0.43,END/DER,Rhodium monoxide,"Chen and Armentrout, 1995"
 35229-41-5,, O,9.1 ¡À 0.5,EI,Dilead dioxide,"Uy and Drowart, 1969"
 12035-91-5,LLK, OTb,6.1 ¡À 0.7,EI,Terbium monoxide,"Kordis and Gingerich, 1977"
 12036-05-4,, O,9.6 ¡À 0.5,EI,praseodymium dioxide,"Staley and Norman, 1969"
 12137-27-8,RDSH, O,10,EI,rhodium dioxide,"Norman, Staley, et al., 1964"
 7446-08-4,RDSH, O,11.5 ¡À 0.5,EI,Selenium(IV) oxide,"Ficalora, Thompson, et al., 1969"
 13463-67-7,LBLHLM, O,9.5 ¡À 0.5,EI,Titanium dioxide (anatase),"Balducci, Gigli, et al., 1985"
 1309-60-0,, O,8.87 ¡À 0.10,EI,lead dioxide,"Zmbov and Miletic, 1978"
 7446-09-5,LL, O,12.5 ¡À 0.1,EI,Sulfur dioxide,"Snow and Thomas, 1990"
 62462-78-6,, O,6.0 ¡À 0.8,EI,Diterbium dioxide,"Kordis and Gingerich, 1977"
 1344-57-6,LLK, O,5.4 ¡À 0.1,EI,uranium dioxide,"Rauh and Ackermann, 1974"
 59863-17-1,RDSH, O,11.3 ¡À 0.5,EI,Tellurium dioxide,"Staley, 1970"
 12534-17-7,LL, O,9.4 ¡À 0.3,EI,Ditin dioxide,"Makarov and Zbezhneva, 1993"
 12036-10-1,, O,10.6,EI,ruthenium (IV) oxide,"Norman, Staley, et al., 1968"
 1314-15-4,RDSH, O,11.2 ¡À 0.3,EI,platinum dioxide,"Norman, Staley, et al., 1967"
 12036-14-5,LLK, O,8.5 ¡À 0.5,EI,Tantalum dioxide,"Smoes, Drowart, et al., 1976"
 12036-22-5,LLK, O,9.5 ¡À 0.5,EI,tungsten dioxide,"Balducci, Gigli, et al., 1981"
 1314-23-4,LLK, O,9.4 ¡À 0.2,EI,zirconium dioxide,"Murad and Hildenbrand, 1975"
 1314-20-1,LLK, O,8.7 ¡À 0.15,EI,thorium dioxide,"Rauh and Ackermann, 1974"
 7782-44-7,LL, O,12.0697 ¡À 0.0002,S,Oxygen,"Tonkyn, Winniczek, et al., 1989"
 12164-97-5,LLK, O,11.9 ¡À 0.5,EI,Phosphorus dioxide,"Balducci, Gigli, et al., 1981"
 12596-95-1,LL, Pt,8.68 ¡À 0.02,S,Platinum dimer,"Taylor, Lemire, et al., 1988"
 37267-70-2,LLK, Sb,9.0 ¡À 0.2,EI,Antimony trimer,"Kordis and Gingerich, 1973"
 12185-19-2,LL, Xe,11.178 ¡À 0.001,TE,Xenon dimer,"Lu, Morioka, et al., 1995"
 12165-16-1,LLK, O,12.2 ¡À 0.2,EI,Ditungsten hexaoxide,"Bennett, Lin, et al., 1974"
 1314-08-5,LL, OPd,9.76 ¡À 0.17,END/DER,palladium monoxide,"Chen and Armentrout, 1995"
 20427-56-9,LLK, O,12.15,PE,ruthenium tetraoxide,"Evans, Hamnett, et al., 1974"
 13451-05-3,, O,9.4,EI,strontium wolframate,"Verhaegen, Colin, et al., 1965"
 10248-58-5,LLK, O,9.5,PE,Tetraphosphorus hexaoxide,"Egdell, Palmer, et al., 1980"
 36502-09-7,, O,8.5 ¡À 1.0,EI,Tetralead tetraoxide,"Drowart, Colin, et al., 1965"
 14013-75-3,Vertical value, O,10.6 ¡À 0.05,PE,"Perrhenic acid, thallium salt","Schweitzer, McMurtrie, et al., 1977"
 99803-43-7,LBLHLM, O,10.5 ¡À 0.5,EI,Dititanium tetraoxide,"Balducci, Gigli, et al., 1985"
 13768-47-3,Vertical value, O,10.03 ¡À 0.06,PE,"Perrhenic acid, rubidium salt","Vick, Woodley, et al., 1978"
 20816-12-0,LL, O,12,PE,osmium tetraoxide,"Green, Kaltsoyannis, et al., 1990"
 14553-36-7,RDSH, O,10.8,EI,Tin monotungstate,"Verhaegen, Colin, et al., 1965"
 12534-33-7,RDSH, O,9.2 ¡À 0.5,EI,Tin oxide,"Colin, Drowart, et al., 1965"
 12137-38-1,, O,10.8 ¡À 1.0,EI,Diphosphorus tetraoxide,"Smoes and Drowart, 1973"
 12503-87-6,, O,13. ¡À 1.,EI,Tetravanadium octaoxide,"Farber, Uy, et al., 1972"
 10097-28-6,LLK, OSi,11.3 ¡À 0.2,EI,silicon monoxide,"Nakagawa, Asano, et al., 1981"
 12037-06-8,LLK, O,11.9 ¡À 0.5,EI,Tetraphosphorus octoxide,"Smoes and Drowart, 1973"
 12035-98-2,LL, OV,7.2386 ¡À 0.0006,TE,vanadium oxide,"Harrington and Weisshaar, 1992"
 72926-13-7,Vertical value, O,9.31,PE,Tetraantimony hexaoxide,"Egdell, Palmer, et al., 1980"
 12137-20-1,LL, OTi,6.819 ¡À 0.006,LS,titanium oxide,"Sappey, Eiden, et al., 1989"
 12035-89-1,, OSr,4.8,EI,Distrontium monoxide,"Drowart, Exsteen, et al., 1964"
 12035-82-4,RDSH, OPt,10.1 ¡À 0.3,EI,platinum oxide,"Norman, Staley, et al., 1967"
 12037-11-5,LLK, O,12.4 ¡À 0.5,EI,Tetraphosphorus nonoxide,"Smoes and Drowart, 1973"
 1314-68-7,LLK, O,12.7 ¡À 0.2,EI,dirhenium heptaoxide,"Skinner and Searcy, 1973"
 14452-66-5,LBLHLM, OP,8.39 ¡À 0.01,PE,Phosphorus monoxide,"Dyke, Morris, et al., 1982"
 1344-54-3,LBLHLM, O,8.3 ¡À 0.5,EI,dititanium trioxide,"Balducci, Gigli, et al., 1985"
 12036-01-0,LLK, OZr,5.8 ¡À 0.2,EI,zirconium oxide,"Murad and Hildenbrand, 1975"
 12036-24-7,, O,12. ¡À 1.,EI,Osmium trioxide,"Grimley, Burns, et al., 1960"
 7446-11-9,LL, O,13.15 ¡À 0.05,EI,sulphur trioxide,"Snow and Thomas, 1990"
 12359-22-7,, O,9.7 ¡À 1.0,EI,Trilead trioxide,"Drowart, Colin, et al., 1965"
 12065-80-4,LLK, O,11.4 ¡À 0.5,EI,Tetraphosphorus heptaoxide,"Smoes and Drowart, 1973"
 1314-35-8,LLK, O,12.5 ¡À 0.5,EI,tungsten trioxide,"Balducci, Gigli, et al., 1981"
 1344-58-7,LLK, O,10.6 ¡À 0.1,EI,uranium trioxide,"Rauh and Ackermann, 1974"
 12143-37-2,, O,6.4,EI,Strontium trioxotungstate,"Verhaegen, Colin, et al., 1965"
 12036-36-1,RDSH, O,11.2,EI,Ruthenium trioxide,"Norman, Staley, et al., 1968"
 1314-28-9,LLK, O,12.1 ¡À 0.3,EI,rhenium trioxide,"Maleev, Semenov, et al., 1974"
 13768-86-0,, O,11.6 ¡À 0.5,EI,selenium trioxide,"Ficalora, Thompson, et al., 1969"
 1314-56-3,, O,12.0 ¡À 1.0,EI,diphosphorus pentaoxide,"Smoes and Drowart, 1973"
 12534-28-0,RDSH, O,9.8 ¡À 0.5,EI,Tritin trioxide,"Colin, Drowart, et al., 1965"
 1314-24-5,, O,10.4 ¡À 0.5,EI,Diphosphorus trioxide,"Smoes and Drowart, 1973"
 10028-15-6,LBLHLM, O,12.43,PE,Ozone,"Katsumata, Shiromaru, et al., 1984"
 12165-37-6,LLK, O,12.0 ¡À 0.2,EI,Tritungsten nonaoxide,"Bennett, Lin, et al., 1974"
 1314-11-0,LL, OSr,6.60 ¡À 0.18,END/DER,Strontium monoxide,"Dalleska and Armentrout, 1994"
 12035-81-3,LLK, OPr,4.9 ¡À 0.1,EI,Praseodymium monoxide,"Ackermann, Rauh, et al., 1976"
 18088-11-4,LBLHLM, ORb,4.63,S,dirubidium oxide,"Butman, Kudin, et al., 1984"
 12509-27-2,LBLHLM, ORb,6.69,S,Rubidium monoxide,"Butman, Kudin, et al., 1984"
 1317-36-8,LL, OPb,9.4 ¡À 0.3,EI,Lead oxide,"Makarov and Zbezhneva, 1993"
 12162-16-2,LLK, HeNe,20.87,S,"Helium, compound with neon (1:1)","Dabrowski and Herzberg, 1978"
 21651-19-4,LL, OSn,9.9 ¡À 0.2,EI,tin monoxide,"Makarov and Zbezhneva, 1993"
 1314-12-1,LLK, OTl,8.02 ¡À 0.10,EI,dithallium oxide,"Bagarat'yan, Il'in, et al., 1973"
 20901-21-7,LL, OS,10.584 ¡À 0.005,PIPECO,Disulfur monoxide,"Norwood and Ng, 1989"
 161036-97-1,Vertical value; , OY,4.25,PI,Pentayttrium monoxide,"Knickelbein, 1995"
 22201-28-1,, OSU,~8. ¡À 0.5,EI,Uranium monoxide monosulfide,"Cater, Rauh, et al., 1968"
 13827-32-2,LL, OS,10.294 ¡À 0.004,PIPECO,Sulfur monoxide,"Norwood and Ng, 1989"
 13451-17-7,RDSH, OTe,9.4 ¡À 0.5,EI,Tellurium monoxide,"Staley, 1970"
 12035-90-4,LBLHLM, OTa,8.61 ¡À 0.02,PE,Tantalum monoxide,"Dyke, Ellis, et al., 1987"
 12143-14-5,Vertical value, OY,6,PI,Diyttrium monoxide,"Knickelbein, 1995"
 12036-00-9,LLK, OY,6.0 ¡À 0.3,EI,Yttrium monoxide,"Murad and Hildenbrand, 1980"
 161036-96-0,Vertical value; , OY,4.92,PI,Triyttrium monoxide,"Knickelbein, 1995"
 7440-27-9,LL, Tb,5.8639,EVAL,terbium,"Lide, 1992"
 25578-79-4,LLK, OYb,6.6 ¡À 0.1,EI,Ytterbium monoxide,"Ackermann, Rauh, et al., 1976"
 12035-88-0,LLK, OSm,5.5,EI,Samarium monoxide,"Hildenbrand, 1977"
 12035-93-7,LL, OTh,6.1 ¡À 0.3,EI,Thorium monoxide,"Lau, Brittain, et al., 1989"
 12143-05-4,RDSH, ORu,8.7,EI,Ruthenium monoxide,"Norman, Staley, et al., 1968"
 12281-29-7,LLK, OTm,7. ¡À 1.,EI,Thulium monoxide,"Murad and Hildenbrand, 1980"
 12035-97-1,LLK, OU,5.66,EVAL,Uranium monoxide,"Huber and Herzberg, 1979"
 12035-99-3,RDSH, OW,9. ¡À 1.,EI,Tungsten oxide,"DeMaria, Burns, et al., 1960"
 17778-80-2,LL, O,13.61806,EVAL,"Oxygen, atomic","Lide, 1992"
 7440-64-4,LL, Yb,6.25416,EVAL,ytterbium,"Lide, 1992"
 12771-79-8,, Yb,4,EI,Ytterbium dimer,"Guido and Balducci, 1972"
 12184-98-4,LLK, He,22.223,DER,Dihelium,"Huber and Herzberg, 1979"
 7440-59-7,LL, He,24.58741,EVAL,helium,"Lide, 1992"
 12038-34-5,, PtY,6.3 ¡À 2.0,EI,"Platinum, compound with yttrium(1:1)","Gupta, Nappi, et al., 1981"
 12038-31-2,, PtTi,10.1 ¡À 1.0,EI,"Platinum, compound with titanium(1:1)","Gupta, Pelino, et al., 1979"
 12137-83-6,, PtSi,7.9 ¡À 0.5,EI,Platinum monosilicide,"Auwera-Mahieu, Peeters, et al., 1970"
 7440-06-4,LL, Pt,9,EVAL,platinum,"Lide, 1992"
 12038-30-1,, PtTh,8. ¡À 2.,EI,"Platinum, compound with thorium(1:1)","Gingerich, 1973"
 68343-44-2,, Te,7.2,EI,Hexatellurium,"Neubert, 1978"
 50645-42-6,, Te,7.4,EI,Tellurium pentamer,"Neubert, 1978"
 12187-04-1,RDSH, TeY,6. ¡À 1.,EI,Yttrium telluride,"Uy and Drowart, 1970"
 22541-49-7,LL, Te,9.0096,EVAL,Tellurium,"Lide, 1992"
 50645-41-5,LLK, Te,9.3,EI,Tellurium trimer,"Neubert, 1978"
 10028-16-7,LL, Te,8.8,EI,Ditellurium,"Saha, Viswanathan, et al., 1988"
 12597-49-8,, Te,9.5,EI,Tellurium tetramer,"Neubert, 1978"
 7440-63-3,LL, Xe,12.12987,EVAL,Xenon,"Lide, 1992"
 52014-55-8,, RuTh,6.4 ¡À 0.5,EI,"Ruthenium, compound with thorium (1:1)","Gingerich and Gupta, 1978"
 12316-41-5,, RuU,6.1 ¡À 0.5,EI,"Ruthenium, compound with uranium(1:1)","Gingerich and Gupta, 1978"
 7440-18-8,LL, Ru,7.3605,EVAL,ruthenium,"Lide, 1992"
 7440-36-0,LL, Sb,8.64,EVAL,antimony,"Lide, 1992"
 58428-34-5,, SbSe,8.0 ¡À 0.3,EI,Antimony monoselenide,"Sullivan, Prusaczyk, et al., 1970"
 12597-33-0,, Se,8.97 ¡À 0.05,EI,Octaselenium,"Fujisaki, Westmore, et al., 1966"
 12597-17-0,LBLHLM, Sb,7.40 ¡À 0.10,PE,Antimony tetramer,"Elbel, Kudnig, et al., 1984"
 12597-32-9,, Se,8.87 ¡À 0.05,EI,Cycloheptaselenium,"Fujisaki, Westmore, et al., 1966"
 12597-30-7,LLK, Se,8.23 ¡À 0.05,PE,Selenium hexamer,"Streets and Berkowitz, 1976"
 12597-28-3,LLK, Se,7.83 ¡À 0.02,PE,Selenium pentamer,"Streets and Berkowitz, 1976"
 32679-33-7,LL, Sb,¡Ü8.43,PI,Diantimony,"Yoo, Ruscic, et al., 1993"
 1315-05-5,, Sb,8.6 ¡À 0.3,EI,diantimony triselenide,"Sullivan, Prusaczyk, et al., 1970"
 103938-07-4,, Sb,8.6 ¡À 0.3,EI,Diantimony tetraselenide,"Sullivan, Prusaczyk, et al., 1970"
 37367-18-3,, Sb,8.4 ¡À 0.3,EI,Tetraantimony tetraselenide,"Sullivan, Prusaczyk, et al., 1970"
 12294-12-1,, Sb,8.6 ¡À 0.3,EI,Diantimony diselenide,"Sullivan, Prusaczyk, et al., 1970"
 37367-17-2,, Sb,8.4 ¡À 0.3,EI,Tetraantimony triselenide,"Sullivan, Prusaczyk, et al., 1970"
 51682-77-0,, Se,9.8 ¡À 0.5,EI,Ditin diselenide,"Colin and Drowart, 1964"
 12067-44-6,RDSH, SeY,6.1,EI,"Selenium, compound with yttrium (1:1)","Uy and Drowart, 1970"
 12185-17-0,LBLHLM, Se,8.6,PE,Selenium dimer,"Potts and Novak, 1983"
 1315-06-6,RDSH, SeSn,9.7 ¡À 0.5,EI,tin selenide,"Colin and Drowart, 1964"
 12067-42-4,LBLHLM, SeTe,8.5 ¡À 0.2,EI,Selenium monotelluride,"Grade, Wienecke, et al., 1983"
 7782-49-2,LL, Se,9.75238,EVAL,selenium,"Lide, 1992"
 7440-19-9,LL, Sm,5.6437,EVAL,samarium,"Lide, 1992"
 7440-32-6,LL, Ti,6.8282,EVAL,titanium,"Lide, 1992"
 14017-34-6,, F,7.0 ¡À 0.3,EI,Scandium difluoride,"Zmbov and Margrave, 1967"
 41831-81-6,, F,10.0 ¡À 0.3,EI,Tungsten difluoride disulfide,"Hildenbrand, 1975"
 13709-35-8,LBLHLM, F,10.62 ¡À 0.02,PI,Difluorodisulfane,"Losking and Willner, 1985"
 101947-30-2,LBLHLM, F,10.41 ¡À 0.02,PI,Thiothionyl fluoride,"Losking and Willner, 1985"
 14835-14-4,LL, F,9.99 ¡À 0.24,END,Trifluorosilyl radical,"Weber and Armentrout, 1988"
 7783-50-8,RDSH, F,12.5 ¡À 0.3,EI,iron trifluoride,"Zmbov and Margrave, 1967"
 19702-30-8,Vertical value, F,9.17,PE,"Ruthenium, pentakis(phosphorus trifluoride)-","Head, Nixon, et al., 1975"
 41831-79-2,, F,9.0 ¡À 0.3,EI,Tungsten trifluoride monosulfide,"Hildenbrand, 1975"
 13782-22-4,, F,8.8 ¡À 0.3,EI,Sodium trifluorostannate,"Hastie, Zmbov, et al., 1968"
 30937-38-3,LL, F,8.18 ¡À 0.07,END,Sulfur trifluoride,"Fischer, Kickel, et al., 1992"
 13709-36-9,LLK, F,12.35 ¡À 0.01,PI,xenon difluoride,"Berkowitz, Chupka, et al., 1971"
 13966-66-0,LLK, F,10.78 ¡À 0.05,PE,Difluorosilylene,"Westwood, 1974"
 13814-25-0,LBLHLM, F,10.08,PI,Sulfur difluoride,"Losking and Willner, 1985"
 41831-78-1,, F,9.5 ¡À 0.3,EI,Tungsten difluoride monosulfide,"Hildenbrand, 1975"
 70421-43-1,Vertical value, F,10.2,PE,Selenium difluoride,"De Leeuw, Mooyman, et al., 1979"
 13981-89-0,, F,7.0 ¡À 0.3,EI,Yttrium difluoride,"Zmbov and Margrave, 1967"
 22529-29-9,, F,11.0 ¡À 0.5,EI,Molybdenum trifluoride oxide,"Alikhanyan, Steblevskii, et al., 1978"
 67374-76-9,LLK, F,13.0 ¡À 0.3,EI,Molybdenum trifluoride sulfide,"Malkerova, Alikhanyan, et al., 1980"
 20193-58-2,LLK, F,10.2 ¡À 0.5,EI,Molybdenum trifluoride,"Alikhanyan, Steblevskii, et al., 1978"
 7783-55-3,LL, F,11.38 ¡À 0.01,PIPECO,Phosphorus trifluoride,"Ruede, Troxler, et al., 1993"
 7783-56-4,LBLHLM, F,12.1,PE,antimony trifluoride,"Novak and Potts, 1983"
 13814-22-7,, F,7.5 ¡À 0.3,EI,Zirconium trifluoride,"Murad and Hildenbrand, 1966"
 51518-19-5,Vertical value, F,11.06 ¡À 0.05,PE,"Phosphine, (trifluorosilyl)-","Demuth, 1977"
 7783-53-1,LLK, F,12.6 ¡À 0.2,EI,manganese trifluoride,"Ehlert and Hsia, 1973"
 13465-71-9,LLK, F,11. ¡À 1.,EI,Trifluorosilane,"Farber and Srivastava, 1977"
 13847-65-9,LLK, F,13.36 ¡À 0.01,PE,Trifluoroamine oxide,"Basset and Lloyd, 1972"
 15930-75-3,RDSH, F,12.46 ¡À 0.03,EI,Thiazyl trifluoride,"Glemser, Muller, et al., 1968"
 13478-20-1,LBLHLM, F,13.34,EI,Phosphoryl fluoride,"Neskovic, Miletic, et al., 1983"
 13709-31-4,LLK, F,13.88 ¡À 0.05,EI,trifluorooxovanadium,"Flesch and Svec, 1975"
 20263-47-2,, F,12.5 ¡À 0.5,EI,Tantalum monoxide trifluoride,"Zmbov, Uy, et al., 1969"
 7783-54-2,LL, F,13.5 ¡À 0.2,EI,Nitrogen trifluoride,"Tarnovsky, Levin, et al., 1994"
 51621-17-1,LLK, F,9.0 ¡À 0.2,EI,Tungsten trifluoride,"Hildenbrand, 1975"
 13842-84-7,LL, F,6.2 ¡À 0.3,EI,Thorium trifluoride,"Lau, Brittain, et al., 1989"
 13470-08-1,, F,10.5 ¡À 0.5,EI,titanium trifluoride,"Zmbov and Margrave, 1967"
 13842-83-6,LL, F,8.6 ¡À 0.5,EI,Plutonium trifluoride,"Kleinschmidt, 1988"
 14700-00-6, , F,11. ¡À 0.,EI,Cyclo-tetrakis(difluorophosphonitrile),"Brion, Oldfield, et al., 1966"
 14521-14-3,, F,10.8 ¡À 0.1,EI,Octafluorotrisilane,"McDonald, Williams, et al., 1968"
 7783-77-9,, F,14.5 ¡À 0.1,PE,Molybdenum hexafluoride,"Vovna, Dudin, et al., 1979"
 7783-81-5,LLK, F,14.00 ¡À 0.10,EI,Uranium hexafluoride,"Hildenbrand, 1977"
 20558-69-4,Vertical value, F,9.47,PE,"Manganese, hydropentakis(phosphorus trifluoride)-","Head, Nixon, et al., 1975"
 13815-34-4, , F,8.9,PE,"Iron, pentakis(phosphorus trifluoride)-","Nixon, 1973"
 7789-27-7,LLK, FTl,10.52,PE,thallium fluoride,"Dehmer, Berkowitz, et al., 1973"
 13815-33-3,Vertical value, F,9.9 ¡À 0.1,PE,Palladium tetrakis(phosphorus trifluoride)-,"Bassett, Higginson, et al., 1974"
 19529-53-4,LLK, F,8.89 ¡À 0.03,PE,tetrakis(phosphorous trifluoride)platinum,"Bassett, Higginson, et al., 1974"
 13824-57-2,RDSH, F,13,EI,Molybdenum difluoride dioxide,"Zmbov, Uy, et al., 1969"
 15948-68-2,, F,6.8 ¡À 0.3,EI,Lanthanum difluoride,"Zmbov and Margrave, 1968"
 13709-61-0,LLK, F,¡Ü12.72,PE,xenon tetrafluoride,"Brundle, Jones, et al., 1971"
 7783-40-6,RDSH, F,13.3 ¡À 0.3,EI,Magnesium fluoride,"Hildenbrand, 1968"
 27245-05-2,LBLHLM, F,10.55 ¡À 0.02,PI,"Disulfane, 1,1,1,2-tetrafluoride","Losking and Willner, 1985"
 7783-60-0,LL, F,11.69 ¡À 0.06,END,Sulfur tetrafluoride,"Fischer, Kickel, et al., 1992"
 20205-60-1,LLK, F,9.00 ¡À 0.15,EI,Molybdenum difluoride,"Hildenbrand, 1976"
 13981-88-9,RDSH, FY,6.3 ¡À 0.3,EI,Yttrium monofluoride,"Zmbov and Margrave, 1968"
 10405-27-3,LL, F,11.6,PE,Difluoramine,"Baumgartel, Jochims, et al., 1989"
 14118-73-1,LLK, F,12.5 ¡À 0.3,EI,Tungsten difluoride dioxide,"Malkerova, Mel'nichenko, et al., 1981"
 60448-09-1,Vertical value, F,10.7,PE,"Phosphoranediamine, 1,1-difluoro-","Arnold and Rankin, 1976"
 2699-79-8,LLK, F,~13.0,PE,Sulfuryl fluoride,"Chadwick, Frost, et al., 1973"
 14984-74-8,LLK, F,10.5 ¡À 0.1,EI,Difluorophosphine,"Dean, Finch, et al., 1974"
 7782-64-1,LLK, F,11.4 ¡À 0.2,EI,manganese difluoride,"Ehlert and Hsia, 1973"
 3744-07-8,LL, F,11.8 ¡À 0.4,EI,Difluoroamino radical,"Tarnovsky, Levin, et al., 1994"
 7783-42-8,LLK, F,12.3,PE,Thionyl fluoride,"Costa, Lloyd, et al., 1981"
 13776-62-0,LLK, F,12.8,PE,"Nitrogen fluoride, (E)-","Brundle, Robin, et al., 1972"
 7783-41-7,LLK, F,13.11 ¡À 0.01,PI,Oxygen difluoride,"Berkowitz, Dehmer, et al., 1973"
 71579-71-0,Vertical value, F,10.8,PE,"Phosphoramidous difluoride, disilyl-","Ebsworth, Rankin, et al., 1979"
 25757-74-8,Vertical value, F,10.9 ¡À 0.1,PE,Phosphoramidous difluoride,"Arnold and Rankin, 1975"
 24628-34-0,, F,10.7 ¡À 0.3,EI,Difluorosilane thiol,"Sharp and Margrave, 1969"
 13819-11-9,LLK, F,9.6 ¡À 0.1,EI,Difluoroiodophosphine,"Dean, Finch, et al., 1974"
 13824-36-7, , F,11. ¡À 1.,EI,Difluorosilane,"Farber and Srivastava, 1977"
 10049-14-6,LLK, F,9.51,PE,uranium tetrafluoride,"Dyke, Fayad, et al., 1980"
 7783-61-1,LL, F,15.29 ¡À 0.08,END,Silicon tetrafluoride,"Kickel, Fisher, et al., 1993"
 34326-59-5,Vertical value, F,11.3 ¡À 0.1,PE,Imidodiphosphorous tetrafluoride,"Arnold and Rankin, 1975"
 71579-72-1,Vertical value, F,11.2,PE,"Imidophosphorous tetrafluoride, silyl-","Ebsworth, Rankin, et al., 1979"
 70487-60-4,LLK, F,12.6 ¡À 0.3,EI,Molybdenum tetrafluoride monosulfide,"Malkerova, Alikhanyan, et al., 1980"
 23412-45-5,LLK, F,9.7 ¡À 0.2,EI,Molybdenum tetrafluoride,"Alikhanyan, Steblevskii, et al., 1978"
 14459-59-7,LLK, F,13.8,PE,Molybdenum tetrafluoride oxide,"Vovna, Dudin, et al., 1981"
 13824-74-3,LBLHLM, F,¡Ü9.28,PI,P2F4,"Berkowitz, Greene, et al., 1984"
 24628-35-1,, F,10.6 ¡À 0.3,EI,"Disilicon tetrafluoride, compound with hydrogen sulfide","Sharp and Margrave, 1969"
 13773-81-4,LLK, F,13.06,PE,Krypton difluoride,"Brundle and Jones, 1972"
 72190-38-6,, F,12.3 ¡À 0.3,EI,Difluorogermanone,"Adams, Margrave, et al., 1971"
 13940-63-1,LLK, F,12.9 ¡À 0.3,EI,Germanium difluoride,"Adams, Margrave, et al., 1971"
 33963-15-4,LLK, F,9.0 ¡À 0.3,EI,Tungsten difluoride,"Hildenbrand, 1975"
 31970-97-5,LLK, F,9.71 ¡À 0.02,PI,Dithallium difluoride,"Dehmer, Berkowitz, et al., 1973"
 7783-49-5, , F,13.91 ¡À 0.03,PE,zinc fluoride,"Lee, Law, et al., 1980"
 13842-94-9,RDSH, F,12.0 ¡À 0.5,EI,Zirconium fluoride,"Murad and Hildenbrand, 1966"
 28844-11-3,LL, F,6.0 ¡À 0.3,EI,Thorium difluoride,"Lau, Brittain, et al., 1989"
 13814-20-5,RDSH, F,12.2 ¡À 0.5,EI,Titanium difluoride,"Zmbov and Margrave, 1967"
 18820-56-9,LBLHLM, F,11.85 ¡À 0.25,EI,Platinum difluoride,"Korobov, Bondarenko, et al., 1983"
 20882-15-9,, F,6.4 ¡À 0.5,EI,Plutonium difluoride,"Kent, 1968"
 7783-47-3,LBLHLM, F,11.1,PE,tin difluoride,"Novak and Potts, 1983"
 14986-65-3,Vertical value, F,13.0 ¡À 0.1,PE,Difluorogermane,"Cradock and Whiteford, 1971"
 13873-52-4,LBLHLM, F,8.84 ¡À 0.01,PE,Phosphorus difluoride,"Dyke, 1987"
 7783-46-2,LBLHLM, F,11.5,PE,lead difluoride,"Novak and Potts, 1983"
 16087-64-2,, F,6.9 ¡À 0.3,EI,Holmium difluoride,"Zmbov and Margrave, 1966"
 13940-76-6,RDSH, F,5.6 ¡À 0.3,EI,Neodymium difluoride,"Zmbov and Margrave, 1966"
 10028-18-9,, F,11.5 ¡À 0.3,EI,nickel difluoride,"Ehlert, Kent, et al., 1964"
 7789-28-8,RDSH, F,11.3 ¡À 0.3,EI,iron difluoride,"Kent and Margrave, 1965"
 51777-79-8,, F,13.3 ¡À 0.5,EI,Gallium difluoride,"Zmbov and Margrave, 1967"
 12259-19-7,, F,6.5 ¡À 0.3,EI,Gadolinium difluoride,"Zmbov and Margrave, 1967"
 7782-41-4,LBLHLM, F,15.697 ¡À 0.003,PE,fluorine,"Van Lonkhuyzen and De Lange, 1984"
 13766-47-7,LLK, F,9.89 ¡À 0.10,EI,Tungsten tetrafluoride,"Hildenbrand, 1975"
 130950-28-6,, F,10.5 ¡À 0.5,EI,Ditin tetrafluoride,"Zmbov, Hastie, et al., 1968"
 10036-47-2,LBLHLM, F,11.94 ¡À 0.03,PI,Tetrafluorohydrazine,"Berkowitz, Greene, et al., 1984"
 7783-58-6, , F,15.5,PE,tetrafluorogermane,"Lloyd and Roberts, 1975"
 71481-55-5,Vertical value, F,11.6,PE,"Phosphoramidous difluoride, (tetrafluorophosphoranyl)-","Rankin and Wright, 1979"
 13709-54-1,LLK, F,12.3,PE,Sulfur tetrafluoride oxide,"Costa, Lloyd, et al., 1981"
